age,sex,bmi,children,smoker,region,charges,SSN,Phone Number
63,male,28.31,0,no,northwest,13770.0979,780-17-3381,(103)375-0484x4044
28,male,36.4,1,yes,southwest,51194.55914,732-60-7569,007-923-5442x44290
19,male,20.425,0,no,northwest,1625.43375,182-82-4187,349-133-7370x180
62,female,32.965,3,no,northwest,15612.19335,790-35-9417,441-527-7880x376
26,male,20.8,0,no,southwest,2302.3,550-80-4805,(829)315-3566
35,male,36.67,1,yes,northeast,39774.2763,787-07-1125,637.989.6618x697
60,male,39.9,0,yes,southwest,48173.361,487-77-3534,(415)148-4803x25006
24,female,26.6,0,no,northeast,3046.062,311-89-5567,480.345.0826x73268
31,female,36.63,2,no,southeast,4949.7587,725-27-1051,+1-215-101-2028x8925
41,male,21.78,1,no,southeast,6272.4772,841-08-7703,+1-379-536-9547
37,female,30.8,2,no,southeast,6313.759,189-12-9832,001-902-154-8534x9364
38,male,37.05,1,no,northeast,6079.6715,186-58-5389,587.427.1910
55,male,37.3,0,no,southwest,20630.28351,390-91-7735,001-615-113-8768x175
18,female,38.665,2,no,northeast,3393.35635,480-37-7681,406-022-1089
28,female,34.77,0,no,northwest,3556.9223,087-91-8597,909.618.2148x5646
60,female,24.53,0,no,southeast,12629.8967,526-61-6023,001-646-359-6763x64885
36,male,35.2,1,yes,southeast,38709.176,237-94-7722,001-722-806-0716x8974
18,female,35.625,0,no,northeast,2211.13075,667-64-1427,(475)139-7514x45403
21,female,33.63,2,no,northwest,3579.8287,102-11-0579,001-854-659-5923x822
48,male,28,1,yes,southwest,23568.272,136-57-3793,001-737-475-5492x791
36,male,34.43,0,yes,southeast,37742.5757,135-94-0946,411-693-8818x5807
40,female,28.69,3,no,northwest,8059.6791,225-21-9779,(662)006-3421x50198
58,male,36.955,2,yes,northwest,47496.49445,083-06-9351,001-551-143-2060x0077
58,female,31.825,2,no,northeast,13607.36875,712-11-7368,001-428-601-9946
18,male,31.68,2,yes,southeast,34303.1672,309-63-2951,(507)031-5688x6330
53,female,22.88,1,yes,southeast,23244.7902,252-29-1998,(243)656-6681x915
34,female,37.335,2,no,northwest,5989.52365,566-08-3554,231.422.3406
43,male,27.36,3,no,northeast,8606.2174,075-72-4378,+1-045-476-2021x5617
25,male,33.66,4,no,southeast,4504.6624,081-93-2049,3858625447
64,male,24.7,1,no,northwest,30166.61817,526-18-7224,187.293.7103x440
28,female,25.935,1,no,northwest,4133.64165,720-34-8313,(465)375-5875
20,female,22.42,0,yes,northwest,14711.7438,526-37-6471,125.166.1791
19,female,28.9,0,no,southwest,1743.214,271-76-5670,374-692-0416x74537
61,female,39.1,2,no,southwest,14235.072,299-80-3089,043-732-5639
40,male,26.315,1,no,northwest,6389.37785,110-26-2400,+1-277-710-9104x00422
40,female,36.19,0,no,southeast,5920.1041,771-61-1051,+1-894-884-2835x450
28,male,23.98,3,yes,southeast,17663.1442,213-14-6443,067-010-2820x47841
27,female,24.75,0,yes,southeast,16577.7795,026-79-7519,(729)579-3971x332
31,male,28.5,5,no,northeast,6799.458,072-09-6598,(415)205-5376
53,female,28.1,3,no,southwest,11741.726,602-20-7479,+1-674-740-8776x1577
58,male,32.01,1,no,southeast,11946.6259,869-18-6425,266.414.7720
44,male,27.4,2,no,southwest,7726.854,379-06-3523,675.746.7324
57,male,34.01,0,no,northwest,11356.6609,461-59-4576,265.270.4327x174
29,female,29.59,1,no,southeast,3947.4131,492-94-0217,189-657-8032
21,male,35.53,0,no,southeast,1532.4697,798-98-7685,(255)066-3420x576
22,female,39.805,0,no,northeast,2755.02095,580-40-7110,0513730869
41,female,32.965,0,no,northwest,6571.02435,814-98-3153,001-426-479-0217x9095
31,male,26.885,1,no,northeast,4441.21315,270-74-4660,4055085438
45,female,38.285,0,no,northeast,7935.29115,611-68-6669,6597674876
22,male,37.62,1,yes,southeast,37165.1638,129-29-4191,186-374-5533x50308
48,female,41.23,4,no,northwest,11033.6617,884-95-9016,912-122-1427x48748
37,female,34.8,2,yes,southwest,39836.519,177-94-1351,4948859595
45,male,22.895,2,yes,northwest,21098.55405,170-63-1226,+1-559-982-0152
57,female,31.16,0,yes,northwest,43578.9394,509-69-7727,840-551-7417x364
56,female,27.2,0,no,southwest,11073.176,295-95-0160,0669044108
46,female,27.74,0,no,northwest,8026.6666,513-99-3841,601-601-5473
55,female,26.98,0,no,northwest,11082.5772,189-36-7270,(730)659-9149x74705
21,female,39.49,0,no,southeast,2026.9741,295-25-8645,856-172-9182
53,female,24.795,1,no,northwest,10942.13205,447-14-9218,001-145-382-8030x4148
59,male,29.83,3,yes,northeast,30184.9367,372-24-3125,001-043-571-5225
35,male,34.77,2,no,northwest,5729.0053,191-64-1947,(479)528-4944
64,female,31.3,2,yes,southwest,47291.055,392-87-7114,+1-403-674-3430
28,female,37.62,1,no,southeast,3766.8838,402-53-5336,247-727-9163x24479
54,female,30.8,3,no,southwest,12105.32,273-16-1677,950.634.2033x056
55,male,38.28,0,no,southeast,10226.2842,445-02-7315,952.764.2809x3378
56,male,19.95,0,yes,northeast,22412.6485,416-26-2280,(668)639-6191x9207
38,male,19.3,0,yes,southwest,15820.699,315-88-9050,+1-944-183-0862x048
41,female,31.6,0,no,southwest,6186.127,616-25-9826,002-205-7959x613
30,male,25.46,0,no,northeast,3645.0894,362-67-6748,913-708-0841x484
18,female,30.115,0,no,northeast,21344.8467,633-78-0891,(928)559-3945x42068
61,female,29.92,3,yes,southeast,30942.1918,892-10-5849,0680152408
34,female,27.5,1,no,southwest,5003.853,845-49-5580,658-323-2371
20,male,28.025,1,yes,northwest,17560.37975,257-69-9432,7474846177
19,female,28.4,1,no,southwest,2331.519,793-38-9325,5672261219
26,male,30.875,2,no,northwest,3877.30425,346-35-1153,5149204482
29,male,27.94,0,no,southeast,2867.1196,611-95-4515,+1-454-190-3730x9359
63,male,35.09,0,yes,southeast,47055.5321,148-12-2342,+1-772-075-4583x355
54,male,33.63,1,no,northwest,10825.2537,572-02-4443,(906)601-3644x11778
55,female,29.7,2,no,southwest,11881.358,640-93-9919,+1-752-188-7945x24893
37,male,30.8,0,no,southwest,4646.759,793-06-1027,695.887.8265x79936
21,female,35.72,0,no,northwest,2404.7338,410-27-5613,5778626400
52,male,32.205,3,no,northeast,11488.31695,212-02-5207,795-766-0168
60,male,28.595,0,no,northeast,30259.99556,783-59-8205,2707627623
58,male,49.06,0,no,southeast,11381.3254,668-09-1788,001-087-856-6251x57067
29,female,27.94,1,yes,southeast,19107.7796,862-77-3368,001-704-241-1153
49,female,27.17,0,no,southeast,8601.3293,301-67-1874,151.872.3809x451
37,female,23.37,2,no,northwest,6686.4313,077-01-1500,857.226.3559x2922
44,male,37.1,2,no,southwest,7740.337,245-14-4665,001-906-920-3444x319
18,male,23.75,0,no,northeast,1705.6245,641-42-3761,267.811.7962x8226
20,female,28.975,0,no,northwest,2257.47525,621-79-0581,546.907.7028x564
44,male,31.35,1,yes,northeast,39556.4945,876-34-5924,551.717.8471x699
47,female,33.915,3,no,northwest,10115.00885,531-64-3093,(447)919-3370
26,female,28.785,0,no,northeast,3385.39915,203-84-0489,086.825.1290x30598
19,female,28.3,0,yes,southwest,17081.08,786-48-1768,+1-359-661-2456
52,female,37.4,0,no,southwest,9634.538,494-15-6549,173-829-2327
32,female,17.765,2,yes,northwest,32734.1863,366-88-7844,(770)277-1301x48060
38,male,34.7,2,no,southwest,6082.405,485-36-9737,939-348-3333x567
59,female,26.505,0,no,northeast,12815.44495,263-81-9759,070-592-6638x85471
61,female,22.04,0,no,northeast,13616.3586,434-73-3568,776.305.5468x628
53,female,35.9,2,no,southwest,11163.568,256-09-7794,001-716-280-3696x338
19,male,25.555,0,no,northwest,1632.56445,460-65-4424,001-126-513-7451x165
20,female,28.785,0,no,northeast,2457.21115,078-48-4389,852-793-1386x02867
22,female,28.05,0,no,southeast,2155.6815,242-67-6369,(349)127-3321
19,male,34.1,0,no,southwest,1261.442,031-74-9152,2777504826
22,male,25.175,0,no,northwest,2045.68525,359-48-9515,578-322-1944
54,female,31.9,3,no,southeast,27322.73386,863-01-7919,0060460360
22,female,36,0,no,southwest,2166.732,359-24-8085,+1-304-810-9985x7686
34,male,22.42,2,no,northeast,27375.90478,814-54-2489,001-072-956-8882x699
26,male,32.49,1,no,northeast,3490.5491,261-60-7465,001-684-419-9505x140
34,male,25.3,2,yes,southeast,18972.495,587-83-8685,(868)937-8496x02602
29,male,29.735,2,no,northwest,18157.876,478-52-6813,239-181-6386
30,male,28.69,3,yes,northwest,20745.9891,376-25-4749,034-429-2238
29,female,38.83,3,no,southeast,5138.2567,217-19-6331,844.882.1638x5449
46,male,30.495,3,yes,northwest,40720.55105,454-11-3319,580.532.3230x07972
51,female,37.73,1,no,southeast,9877.6077,640-57-2774,(756)447-1909
53,female,37.43,1,no,northwest,10959.6947,891-04-0276,001-660-110-5341x78453
19,male,28.4,1,no,southwest,1842.519,071-62-5729,055.304.4106x952
35,male,24.13,1,no,northwest,5125.2157,449-46-2482,488.883.3440
48,male,29.7,0,no,southeast,7789.635,260-79-9253,001-196-930-5729x04834
32,female,37.145,3,no,northeast,6334.34355,546-63-4146,001-520-743-2234
42,female,23.37,0,yes,northeast,19964.7463,345-98-4135,+1-062-237-7897x735
40,female,25.46,1,no,northeast,7077.1894,471-36-8330,157-304-6606x56245
44,male,39.52,0,no,northwest,6948.7008,798-22-8174,001-490-121-9033
48,male,24.42,0,yes,southeast,21223.6758,563-92-6249,155.502.1584x81991
18,male,25.175,0,yes,northeast,15518.18025,692-80-8882,(853)163-3230
30,male,35.53,0,yes,southeast,36950.2567,864-48-7859,(151)697-9697
50,female,27.83,3,no,southeast,19749.38338,087-19-0306,001-905-639-3768x6306
42,female,26.6,0,yes,northwest,21348.706,884-58-9240,+1-764-145-9216x142
18,female,36.85,0,yes,southeast,36149.4835,416-36-8212,5126612455
54,male,39.6,1,no,southwest,10450.552,821-85-6950,084.917.6555x257
32,female,29.8,2,no,southwest,5152.134,051-61-9017,001-237-520-9887x735
37,male,29.64,0,no,northwest,5028.1466,319-41-7607,(245)667-7264
47,male,28.215,4,no,northeast,10407.08585,865-35-1174,001-871-452-2628
20,female,37,5,no,southwest,4830.63,413-82-4020,5055715424
32,female,33.155,3,no,northwest,6128.79745,846-57-2258,238-681-7818x64510
19,female,31.825,1,no,northwest,2719.27975,678-88-0284,895.860.5105x7398
27,male,18.905,3,no,northeast,4827.90495,552-40-1291,001-576-612-8702x1591
63,male,41.47,0,no,southeast,13405.3903,116-69-8981,862.563.9200x29879
49,male,30.3,0,no,southwest,8116.68,589-12-5560,930.016.0810x986
18,male,15.96,0,no,northeast,1694.7964,630-76-4584,(845)510-3717
35,female,34.8,1,no,southwest,5246.047,195-92-5275,1271801254
24,female,33.345,0,no,northwest,2855.43755,485-37-6599,001-414-310-8330x7230
63,female,37.7,0,yes,southwest,48824.45,283-94-8420,+1-107-004-8590x492
38,male,27.835,2,no,northwest,6455.86265,047-13-7411,(962)045-3039x201
54,male,29.2,1,no,southwest,10436.096,897-12-0899,(652)134-6142x528
46,female,28.9,2,no,southwest,8823.279,118-90-5424,+1-332-042-7898x843
41,female,33.155,3,no,northeast,8538.28845,409-19-7901,(811)766-9892x686
58,male,28.595,0,no,northwest,11735.87905,711-72-4313,284-314-7556x108
18,female,38.28,0,no,southeast,1631.8212,422-78-3543,+1-014-256-1530x3692
22,male,19.95,3,no,northeast,4005.4225,843-45-8391,(163)055-3311x179
44,female,26.41,0,no,northwest,7419.4779,624-36-1543,877.210.6737
44,male,30.69,2,no,southeast,7731.4271,350-13-1076,(195)855-7846x3428
36,male,41.895,3,yes,northeast,43753.33705,148-89-4880,001-816-463-2958x11212
26,female,29.92,2,no,southeast,3981.9768,742-13-8763,236-675-8206
30,female,30.9,3,no,southwest,5325.651,327-15-9163,+1-627-609-9233
41,female,32.2,1,no,southwest,6775.961,580-78-3027,871-147-2368
29,female,32.11,2,no,northwest,4922.9159,028-89-6731,0673445348
61,male,31.57,0,no,southeast,12557.6053,615-56-8567,130.625.5974
36,female,26.2,0,no,southwest,4883.866,038-05-7208,(631)242-4376x13307
25,male,25.74,0,no,southeast,2137.6536,475-79-9587,(006)293-0718
56,female,26.6,1,no,northwest,12044.342,122-81-6448,9067226541
18,male,34.43,0,no,southeast,1137.4697,069-55-2256,8352436522
19,male,30.59,0,no,northwest,1639.5631,300-63-1562,087.417.7534x6569
39,female,32.8,0,no,southwest,5649.715,011-79-9087,4218494774
45,female,28.6,2,no,southeast,8516.829,718-17-4650,(259)614-2074x309
51,female,18.05,0,no,northwest,9644.2525,180-31-3924,386.991.8158x33554
64,female,39.33,0,no,northeast,14901.5167,861-66-3976,+1-812-171-2578x045
19,female,32.11,0,no,northwest,2130.6759,116-94-7640,001-968-430-0484x0017
48,female,32.23,1,no,southeast,8871.1517,034-59-1449,599.646.3166x60572
60,female,24.035,0,no,northwest,13012.20865,074-35-5161,872-832-7156x05600
27,female,36.08,0,yes,southeast,37133.8982,807-98-2639,425-276-1755
46,male,22.3,0,no,southwest,7147.105,191-19-7266,030-073-0451x6296
28,female,28.88,1,no,northeast,4337.7352,276-63-1030,325-449-6820x584
59,male,26.4,0,no,southeast,11743.299,270-83-9480,(427)159-1669
35,male,27.74,2,yes,northeast,20984.0936,609-34-4841,310-477-4742
63,female,31.8,0,no,southwest,13880.949,154-73-1088,001-265-812-4074x22644
40,male,41.23,1,no,northeast,6610.1097,112-13-5641,+1-586-983-1840x471
20,male,33,1,no,southwest,1980.07,510-37-0864,796.714.9851x8898
40,male,30.875,4,no,northwest,8162.71625,064-65-3231,597.244.9652
24,male,28.5,2,no,northwest,3537.703,798-74-5933,(261)439-2991x80639
34,female,26.73,1,no,southeast,5002.7827,887-53-1174,001-200-528-2743x106
45,female,30.9,2,no,southwest,8520.026,586-02-0657,868.322.9938x605
41,female,37.1,2,no,southwest,7371.772,790-92-5788,(203)056-2057
53,female,26.6,0,no,northwest,10355.641,443-77-2500,+1-529-156-6555x7106
27,male,23.1,0,no,southeast,2483.736,461-14-0435,0046261066
26,female,29.92,1,no,southeast,3392.9768,732-26-2316,093.753.8267
24,female,23.21,0,no,southeast,25081.76784,617-71-9637,546-275-0120
34,female,33.7,1,no,southwest,5012.471,390-07-2252,001-783-583-6079x49805
53,female,33.25,0,no,northeast,10564.8845,885-02-5739,(270)229-8805x6651
32,male,30.8,3,no,southwest,5253.524,789-80-8710,680-501-5996x9001
19,male,34.8,0,yes,southwest,34779.615,891-28-6300,+1-799-415-5679x85810
42,male,24.64,0,yes,southeast,19515.5416,592-87-6489,001-952-685-1098x064
55,male,33.88,3,no,southeast,11987.1682,827-40-4386,(421)808-1295
28,male,38.06,0,no,southeast,2689.4954,619-84-8107,7850741209
58,female,41.91,0,no,southeast,24227.33724,737-87-5436,892-592-6019x75524
41,female,31.635,1,no,northeast,7358.17565,574-58-3057,(475)614-8165
47,male,25.46,2,no,northeast,9225.2564,584-41-0623,304-647-6108
42,female,36.195,1,no,northwest,7443.64305,513-98-8436,472.783.2319
59,female,27.83,3,no,southeast,14001.2867,466-02-6687,280-391-2913x97495
19,female,17.8,0,no,southwest,1727.785,664-10-0094,354-541-6460
59,male,27.5,1,no,southwest,12333.828,223-53-0067,+1-635-045-2781x47610
39,male,24.51,2,no,northwest,6710.1919,431-11-5294,714-260-7903x0280
40,female,22.22,2,yes,southeast,19444.2658,295-87-8756,+1-578-244-4369x96567
18,female,26.73,0,no,southeast,1615.7667,153-44-1530,001-685-151-4865
31,male,38.39,2,no,southeast,4463.2051,147-50-4593,(669)389-2313
19,male,29.07,0,yes,northwest,17352.6803,048-12-2358,381-401-5199
44,male,38.06,1,no,southeast,7152.6714,706-33-8794,610.618.9491
23,female,36.67,2,yes,northeast,38511.6283,566-11-6889,001-421-761-3990x015
33,female,22.135,1,no,northeast,5354.07465,788-82-7300,520-849-1132
55,female,26.8,1,no,southwest,35160.13457,141-46-8434,890.592.6903x2188
40,male,35.3,3,no,southwest,7196.867,472-79-1617,094-851-3504x1513
63,female,27.74,0,yes,northeast,29523.1656,878-02-0932,420.526.3198
54,male,30.02,0,no,northwest,24476.47851,621-47-9717,001-971-651-1122
60,female,38.06,0,no,southeast,12648.7034,013-44-6916,+1-897-497-6107x28269
24,male,35.86,0,no,southeast,1986.9334,455-65-2432,292.344.0874
19,male,20.9,1,no,southwest,1832.094,462-97-0006,001-528-478-7748x320
29,male,28.975,1,no,northeast,4040.55825,814-95-1121,641-389-5400
18,male,17.29,2,yes,northeast,12829.4551,482-28-1357,001-336-014-9496x65890
63,female,32.2,2,yes,southwest,47305.305,208-21-1506,(993)377-2657x807
54,male,34.21,2,yes,southeast,44260.7499,536-08-3293,001-233-293-9002x855
27,male,30.3,3,no,southwest,4260.744,555-74-0010,(518)677-6154x077
50,male,31.825,0,yes,northeast,41097.16175,532-29-9290,784.415.3907x40869
55,female,25.365,3,no,northeast,13047.33235,085-16-7506,496.105.4308x0079
56,male,33.63,0,yes,northwest,43921.1837,782-79-5425,545.018.0489
38,female,40.15,0,no,southeast,5400.9805,712-38-6302,(078)521-8937
51,male,24.415,4,no,northwest,11520.09985,842-55-1782,(376)592-3909x33005
19,male,31.92,0,yes,northwest,33750.2918,040-86-4541,001.468.6634
58,female,25.2,0,no,southwest,11837.16,296-33-5710,(415)482-5171
20,female,26.84,1,yes,southeast,17085.2676,467-14-9017,(958)942-9206x8172
52,male,24.32,3,yes,northeast,24869.8368,698-92-9351,001-464-399-9015x106
19,male,36.955,0,yes,northwest,36219.40545,484-85-1868,+1-359-927-2211x50456
53,female,38.06,3,no,southeast,20462.99766,065-52-4467,(738)436-1434x96085
46,male,42.35,3,yes,southeast,46151.1245,575-61-7687,001-844-640-9277x675
40,male,19.8,1,yes,southeast,17179.522,422-53-7120,616.461.2759x60662
59,female,32.395,3,no,northeast,14590.63205,288-78-3074,+1-085-168-0209x340
45,male,30.2,1,no,southwest,7441.053,840-25-0733,748.797.1521x4546
49,male,25.84,1,no,northeast,9282.4806,885-97-3867,818-110-0368
18,male,29.37,1,no,southeast,1719.4363,446-11-4452,851.673.8372x849
50,male,34.2,2,yes,southwest,42856.838,899-84-1692,022.711.1111
41,male,37.05,2,no,northwest,7265.7025,376-94-3200,001-791-733-9955x0436
50,male,27.455,1,no,northeast,9617.66245,620-98-6017,001-282-456-6666x4111
25,male,27.55,0,no,northwest,2523.1695,373-81-4026,001-903-964-6925x5794
47,female,26.6,2,no,northeast,9715.841,369-27-3040,(751)423-0004x71835
19,male,20.615,2,no,northwest,2803.69785,381-59-8914,850.439.0511x7718
22,female,24.3,0,no,southwest,2150.469,491-73-7652,+1-736-394-6133
59,male,31.79,2,no,southeast,12928.7911,335-54-2412,+1-582-203-7530x06491
51,female,21.56,1,no,southeast,9855.1314,724-26-4772,+1-801-802-1974x37168
40,female,28.12,1,yes,northeast,22331.5668,704-19-9993,028-672-2614x2614
54,male,40.565,3,yes,northeast,48549.17835,268-42-8441,+1-270-662-4382x5488
30,male,27.645,1,no,northeast,4237.12655,183-29-3379,001-038-235-3805x5040
55,female,32.395,1,no,northeast,11879.10405,581-56-7734,(898)985-5541
52,female,31.2,0,no,southwest,9625.92,384-13-0994,(946)993-0663x476
46,male,26.62,1,no,southeast,7742.1098,691-66-9249,(643)682-8373x9170
46,female,48.07,2,no,northeast,9432.9253,594-61-3223,(518)352-2699x6900
63,female,26.22,0,no,northwest,14256.1928,274-58-5329,(037)945-0996x4614
59,female,36.765,1,yes,northeast,47896.79135,059-68-6513,001-920-116-1722x0667
52,male,26.4,3,no,southeast,25992.82104,629-33-8346,001-790-875-6571x2900
28,female,33.4,0,no,southwest,3172.018,860-09-5991,073.877.0894x606
29,male,29.64,1,no,northeast,20277.80751,540-24-4781,001-026-098-9706x89341
25,male,45.54,2,yes,southeast,42112.2356,257-90-1488,+1-057-152-8715
22,female,28.82,0,no,southeast,2156.7518,027-87-2145,437-219-8602x38237
25,male,26.8,3,no,southwest,3906.127,830-10-1060,+1-694-852-2351
18,male,22.99,0,no,northeast,1704.5681,432-75-5159,607-152-3882x2869
19,male,27.7,0,yes,southwest,16297.846,665-50-5117,001-149-702-6873x3149
47,male,25.41,1,yes,southeast,21978.6769,635-16-0069,001-193-012-9897x240
31,male,34.39,3,yes,northwest,38746.3551,040-63-3247,(526)800-1710x02266
48,female,28.88,1,no,northwest,9249.4952,684-08-7597,(246)943-1767x594
36,male,27.55,3,no,northeast,6746.7425,263-98-4359,(425)483-3820x3740
53,female,22.61,3,yes,northeast,24873.3849,779-67-6028,622.882.4384x57547
56,female,37.51,2,no,southeast,12265.5069,787-17-3064,+1-136-675-3991x02129
28,female,33,2,no,southeast,4349.462,412-42-1821,+1-309-055-4477x766
57,female,38,2,no,southwest,12646.207,239-53-0678,207-028-7613x862
29,male,33.345,2,no,northwest,19442.3535,649-02-9341,001-822-364-3363x6418
28,female,27.5,2,no,southwest,20177.67113,069-70-1540,438.464.4277
30,female,33.33,1,no,southeast,4151.0287,142-13-2090,1668009054
58,male,34.865,0,no,northeast,11944.59435,808-91-2022,(907)226-4507
41,female,33.06,2,no,northwest,7749.1564,512-23-2806,001-074-132-0691x907
50,male,26.6,0,no,southwest,8444.474,539-72-2588,(666)443-2199x622
19,female,24.7,0,no,southwest,1737.376,849-77-3711,001-430-011-7379x6752
43,male,35.97,3,yes,southeast,42124.5153,675-93-5820,+1-247-974-5700x92915
49,male,35.86,0,no,southeast,8124.4084,037-13-6658,+1-031-179-1835
27,female,31.4,0,yes,southwest,34838.873,423-49-2408,963-651-2294x788
52,male,33.25,0,no,northeast,9722.7695,509-73-1202,(759)718-9637
50,male,32.205,0,no,northwest,8835.26495,503-76-0164,+1-932-713-6124x5281
54,male,32.775,0,no,northeast,10435.06525,226-34-6814,001-299-373-1313x101
44,female,27.645,0,no,northwest,7421.19455,374-19-2241,(697)337-8548x094
32,male,37.335,1,no,northeast,4667.60765,737-55-5943,+1-908-415-0468x1162
34,male,25.27,1,no,northwest,4894.7533,665-67-9278,+1-291-689-5715x8084
26,female,29.64,4,no,northeast,24671.66334,164-64-7346,939-988-5983x94691
34,male,30.8,0,yes,southwest,35491.64,482-75-4225,270-961-1641
57,male,40.945,0,no,northeast,11566.30055,846-28-9725,001-603-456-1498x9074
29,male,27.2,0,no,southwest,2866.091,693-50-2087,+1-803-094-2137x137
40,male,34.105,1,no,northeast,6600.20595,696-83-7951,001-019-306-3683x9199
27,female,23.21,1,no,southeast,3561.8889,256-77-1839,803.976.6697x231
45,male,36.48,2,yes,northwest,42760.5022,684-97-9189,853-605-2009
64,female,33.8,1,yes,southwest,47928.03,307-45-2191,190.516.2386
52,male,36.7,0,no,southwest,9144.565,573-03-5171,152.476.9491x87722
61,female,36.385,1,yes,northeast,48517.56315,696-61-2078,(250)337-8310x9429
52,male,27.36,0,yes,northwest,24393.6224,390-99-5262,(540)860-6018x768
61,female,31.16,0,no,northwest,13429.0354,149-64-8994,484-167-8554x061
56,female,28.785,0,no,northeast,11658.37915,156-23-3880,743-892-3217x9244
43,female,35.72,2,no,northeast,19144.57652,812-65-9893,(028)510-9481
64,male,34.5,0,no,southwest,13822.803,722-28-0535,001-488-982-9301x40072
60,male,25.74,0,no,southeast,12142.5786,024-03-7623,250.455.1308x9450
62,male,27.55,1,no,northwest,13937.6665,219-81-5129,(460)156-3046x8039
50,male,32.3,1,yes,northeast,41919.097,015-28-2130,753-701-9243x7638
46,female,27.72,1,no,southeast,8232.6388,493-81-8821,+1-543-609-6551
24,female,27.6,0,no,southwest,18955.22017,725-01-8843,419.818.0364
62,male,30.02,0,no,northwest,13352.0998,414-20-0436,(118)674-2880x94311
60,female,27.55,0,no,northeast,13217.0945,639-93-9696,001-374-807-2076x9795
63,male,36.765,0,no,northeast,13981.85035,172-82-8947,(341)398-5353x05413
49,female,41.47,4,no,southeast,10977.2063,635-47-6280,179.937.7996x40952
34,female,29.26,3,no,southeast,6184.2994,018-91-6380,4754318994
33,male,35.75,2,no,southeast,4889.9995,721-94-7334,001-116-260-9692x750
46,male,33.345,1,no,northeast,8334.45755,718-12-5414,001-227-957-9794x4625
36,female,29.92,1,no,southeast,5478.0368,850-91-4543,776-379-6725x01572
19,male,27.835,0,no,northwest,1635.73365,192-81-5296,564.527.6352x2982
57,female,23.18,0,no,northwest,11830.6072,472-16-3497,998.562.9873x745
50,female,25.6,0,no,southwest,8932.084,432-57-2401,001-196-763-6295x9058
30,female,27.7,0,no,southwest,3554.203,014-09-9456,(430)121-5186x763
33,male,35.245,0,no,northeast,12404.8791,870-79-4331,995-806-6625x508
18,female,38.28,0,no,southeast,14133.03775,506-17-7677,(196)088-1475
46,male,27.6,0,no,southwest,24603.04837,285-48-0697,760.984.3966
46,male,43.89,3,no,southeast,8944.1151,564-78-0247,(142)968-7222x27125
47,male,29.83,3,no,northwest,9620.3307,438-85-6478,806-511-7092x296
23,male,41.91,0,no,southeast,1837.2819,838-48-6914,287.111.6875x860
18,female,20.79,0,no,southeast,1607.5101,408-54-5923,356.412.9548x742
48,female,32.3,2,no,northeast,10043.249,576-83-2633,0279097176
35,male,30.5,1,no,southwest,4751.07,020-02-5956,001-258-492-5571
